AGE,GENDER,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,LOAN_NUM_CLOSED,LOAN_NUM_TOTAL,PERSONAL_INCOME,AGREEMENT_RK,TARGET
23,1,0,0,1,0,2,2,10000,65482083,0
28,1,0,0,1,0,4,4,15000,74467755,0
56,1,0,0,1,1,1,1,30000,64445162,0
28,1,1,1,1,0,1,1,18000,66700908,0
27,0,1,1,1,0,0,0,25000,61110489,0
46,1,1,0,1,0,2,3,11000,74544319,0
38,1,1,1,1,0,1,1,15000,64995451,0
35,1,2,2,1,0,0,0,8700,64827687,0
37,1,1,1,1,0,0,0,20000,67421931,1
49,0,2,1,1,0,2,2,15000,75017098,0
37,0,3,3,1,0,2,2,40000,74460711,1
36,1,2,2,1,0,0,0,20000,60086903,0
51,0,2,0,1,0,1,1,12000,61054691,0
47,1,0,0,1,0,0,0,10000,73830243,1
46,1,0,0,1,0,1,1,20000,75021931,0
28,1,1,1,1,0,0,0,55000,62590815,1
53,1,2,0,1,0,1,1,20000,60465966,0
26,0,1,1,1,0,2,2,9000,66420656,0
61,0,4,0,1,0,2,2,14000,66773911,1
48,1,2,0,1,0,0,0,7000,60466295,0
30,1,1,1,1,0,0,0,16000,61111863,0
22,0,1,0,1,0,0,0,20000,64898724,1
53,1,2,0,1,0,1,1,8000,61235487,0
56,1,1,0,1,0,1,1,11500,61299664,0
54,0,2,0,1,0,0,0,8000,62994403,0
40,0,1,1,1,0,0,0,35000,67322945,0
56,0,1,0,0,1,0,0,9000,67426389,0
46,1,0,0,1,0,1,1,9000,61302471,0
52,1,0,0,1,0,0,0,15000,61151598,0
32,0,2,2,1,0,0,0,12000,62185166,1
59,0,1,0,0,1,1,1,7000,64592177,0
35,0,1,1,1,0,2,2,17000,67533565,0
26,0,0,0,1,0,0,0,8000,61234815,0
39,0,1,1,1,0,2,3,11000,74187392,0
40,1,3,2,1,0,1,2,20000,74984325,0
57,0,3,0,1,0,1,1,7000,59963388,0
60,1,1,1,1,0,2,2,20000,66521201,0
45,1,0,0,1,0,2,3,8600,66849149,0
40,0,2,2,1,0,0,0,45000,64359123,0
38,0,1,0,1,0,1,1,8000,62508107,0
22,0,0,0,1,0,0,0,15000,61428784,0
49,0,3,0,1,0,1,2,12000,67316365,0
53,1,1,0,0,1,2,3,8500,63810875,1
40,1,1,0,1,0,0,0,15000,66913678,0
57,0,3,0,1,0,3,3,17000,66584918,0
34,0,0,0,1,0,1,1,21000,64003837,0
56,1,1,0,1,1,0,0,6000,63911375,1
32,1,2,2,1,0,0,0,15000,64437168,0
23,1,0,0,1,0,0,0,7000,74016494,0
54,1,0,0,0,1,0,0,11000,67435863,0
33,1,1,1,1,0,0,0,6000,63891476,0
33,0,1,2,1,0,4,4,14000,67083166,0
23,0,0,0,1,0,1,1,12000,61537559,0
34,0,1,1,1,0,1,1,20000,63604196,0
64,1,2,0,0,1,0,0,6000,63898906,0
37,1,2,2,1,0,2,3,20000,66741910,0
44,1,3,0,1,0,0,0,12000,61974001,0
26,0,1,1,1,0,2,2,16000,66761419,0
43,1,2,2,1,0,2,2,10000,67217992,0
49,1,1,0,1,0,0,0,15000,61367683,0
44,1,1,0,1,0,0,0,10000,62255169,0
60,1,0,0,1,0,0,0,15000,63273839,0
34,1,1,1,1,0,0,0,10000,75289228,0
53,1,0,0,1,0,0,0,10000,63922027,0
56,1,3,0,1,0,3,3,14000,74551521,0
49,1,2,1,1,0,0,0,7000,64367877,0
49,1,0,0,1,0,1,1,30000,60051963,1
34,1,2,1,0,1,0,0,11000,61872969,0
41,1,4,2,1,0,3,3,9340,66741232,1
26,1,0,0,1,0,0,0,13000,66199923,0
40,1,1,0,1,0,0,0,13000,60389929,0
42,1,2,1,1,0,0,0,7500,63001854,0
37,1,1,1,1,0,0,0,7000,61149628,0
38,1,1,1,1,0,0,0,7800,75202163,0
45,1,1,1,1,0,0,0,7000,62032105,0
49,1,2,0,1,0,1,2,8200,67438464,0
39,1,1,1,1,0,1,1,6700,61938570,0
36,1,1,1,1,0,1,2,80000,61466005,0
42,0,2,0,1,0,0,0,15000,64912588,1
29,0,1,1,1,0,0,0,10000,63599601,0
45,1,2,0,1,0,0,0,20000,64886008,0
51,1,2,0,1,0,1,1,14000,67084430,0
56,1,0,0,1,0,1,1,13000,60059563,0
33,0,1,1,1,0,0,0,16000,74481609,0
24,1,0,0,1,0,0,0,15000,61111134,0
46,0,2,2,1,0,0,0,22000,61298098,1
39,0,1,1,1,0,0,0,30000,61309526,0
49,0,2,1,1,0,0,0,25000,60059582,0
49,1,0,0,1,0,0,0,7000,74041324,0
49,0,2,0,1,1,0,0,20000,63002506,0
26,0,1,1,1,0,0,0,16000,72272351,0
61,0,0,0,0,1,0,0,8000,67419243,0
42,0,1,1,1,0,0,0,22000,60106578,0
39,1,1,0,1,0,2,3,15000,67070426,0
52,1,1,0,1,0,0,0,20000,62141879,0
38,1,1,1,1,0,2,2,11000,66534703,0
49,1,1,1,1,0,1,1,9000,61530018,0
51,1,2,2,0,1,0,0,12800,63921231,0
60,1,2,0,1,0,0,0,7000,61538643,1
42,1,1,1,1,0,2,2,10500,74555752,0
57,1,3,0,0,1,0,0,7000,65201789,0
41,1,2,1,1,0,0,0,20000,61164289,0
47,1,2,1,1,0,1,3,8000,61438860,0
34,1,1,1,1,0,1,1,12000,62605205,1
32,1,2,2,1,0,0,0,5500,64346113,0
38,1,2,0,1,0,0,0,30000,74274221,1
26,1,1,1,1,0,1,1,8000,65501297,0
39,0,1,1,1,0,4,4,18000,66521740,0
35,0,1,1,1,0,0,0,25000,67316223,0
37,0,1,0,1,0,1,1,24000,61127390,0
22,1,0,0,1,0,1,1,10500,66077870,0
61,0,2,0,0,1,1,2,7000,66895275,0
36,0,3,3,1,0,1,1,16000,61540822,0
27,1,1,1,1,0,1,2,9000,67533844,0
43,0,1,0,1,0,0,0,15000,61522740,0
60,1,4,2,1,0,3,3,6000,74181771,0
38,1,2,2,1,0,0,0,9000,60383583,0
42,1,2,0,1,0,0,0,15000,61517342,0
23,0,0,0,1,0,0,0,30000,64363709,1
31,0,1,1,1,0,3,3,15000,66849191,0
63,1,0,0,0,1,3,3,6000,75276828,0
27,1,1,1,1,0,0,0,15000,61153739,1
39,1,1,1,1,0,3,3,18000,67217364,0
43,1,2,2,1,0,0,0,13000,62991727,0
60,1,2,0,0,1,2,2,5200,61420110,0
33,1,0,0,1,0,0,0,20000,61378216,0
49,1,1,0,1,0,1,1,6000,65227755,0
26,0,1,1,1,0,0,0,13000,60048649,0
38,0,1,1,1,0,0,0,12000,66964461,1
27,1,1,1,1,0,0,0,9000,64825946,1
36,1,1,1,1,0,2,2,15000,66772955,0
42,1,2,1,1,0,0,0,12000,67323570,0
46,1,0,0,1,0,1,2,12650,74982312,0
27,0,1,1,1,0,1,1,9000,61962648,0
43,1,0,0,1,0,1,1,40000,59961282,0
30,0,1,1,1,0,0,0,30000,60460976,1
24,1,0,0,1,0,1,1,10000,65480352,0
41,0,4,4,1,0,0,0,11500,64429925,0
36,1,0,0,1,0,1,1,6000,63986316,0
42,0,1,1,1,0,0,0,15000,63584839,1
56,1,3,0,1,1,0,0,30000,67423403,1
30,0,2,2,1,0,0,0,16000,73848706,0
47,1,1,0,1,0,3,3,7100,66591984,0
53,1,1,0,1,0,0,0,6000,62377524,0
23,1,1,1,1,0,0,0,8000,66158890,0
43,0,0,0,1,0,0,0,12000,61151983,0
37,1,1,1,1,0,2,2,29000,67148327,0
55,1,2,0,1,0,0,0,7000,60108759,0
26,1,2,2,1,0,0,0,13000,75277061,0
58,1,0,0,0,1,2,2,6500,61456826,0
29,1,1,1,1,0,0,0,9000,64361215,0
26,1,0,0,1,0,0,0,21000,66664448,1
34,1,4,4,1,0,1,1,5000,61128012,0
24,0,0,0,1,0,0,0,15000,62086372,1
43,1,2,0,1,0,0,0,10000,67530654,0
37,1,1,1,1,0,2,2,7800,66431039,0
23,1,0,0,1,0,1,1,14000,65419884,0
45,0,1,1,1,0,0,0,30000,62236119,0
49,1,2,0,1,0,2,2,12000,67140209,0
37,1,1,1,1,0,0,0,7000,74177264,0
48,1,0,0,1,0,0,0,15000,63600552,0
42,0,3,2,1,0,0,0,30000,62248078,0
40,1,0,2,1,0,0,0,11000,65207556,1
56,1,0,0,1,1,0,0,9330,61244479,0
36,1,1,1,1,0,1,1,16000,64279518,0
53,1,2,0,1,0,1,1,12000,61082604,0
33,0,1,1,1,0,0,0,18000,67319516,0
54,1,2,0,1,1,3,3,21000,67170275,0
50,1,2,0,1,0,0,0,12000,72263345,0
25,1,1,1,1,0,1,1,10000,66080261,0
26,1,1,1,1,0,1,1,7000,65413785,0
42,1,2,0,1,0,0,0,7850,62037803,0
42,0,1,1,1,0,1,2,20000,73826301,0
54,1,4,1,1,1,0,0,6700,61832441,0
26,0,0,0,1,0,1,2,10000,59923612,0
54,1,2,0,1,0,3,3,10000,66323676,0
26,0,0,0,1,0,0,0,15000,61381122,1
33,0,1,1,1,0,6,7,30000,67413927,0
31,0,1,1,1,0,1,1,12000,66405513,0
25,1,0,0,1,0,2,2,8000,65416756,0
62,1,3,0,1,1,0,0,17000,63001956,0
29,1,1,1,1,0,1,1,18000,60464401,0
46,1,3,1,1,0,0,0,13000,63915922,0
33,0,1,1,1,0,1,1,25000,73822653,0
54,1,0,0,1,0,2,2,15000,74947649,0
54,0,0,0,0,1,0,0,15000,62794114,0
56,0,0,0,1,1,0,0,18000,64455108,0
42,0,1,1,1,0,1,1,12000,61104584,0
39,1,1,1,1,0,1,1,35000,59925539,0
42,1,2,1,1,0,0,0,9000,62594920,0
27,1,1,1,1,0,2,2,17000,66536598,1
39,1,2,2,1,0,1,1,35000,62505743,0
46,0,2,1,1,0,0,0,20000,64915501,0
59,1,2,0,0,1,0,0,5000,62386987,0
24,0,0,0,1,0,2,2,20000,74952294,0
56,1,1,0,1,1,0,0,10000,60451886,0
59,1,0,0,0,1,0,0,6500,62025473,0
47,1,2,1,1,0,2,3,8000,67028464,0
37,1,1,1,1,0,0,0,35000,63601542,0
23,1,2,2,1,0,0,0,6500,66195988,0
58,1,2,0,0,1,0,0,6000,63602995,0
32,1,0,0,1,0,1,2,5000,74039205,0
35,1,2,2,1,0,1,2,10000,67228601,0
45,0,2,1,1,0,2,2,15000,66748130,0
35,1,1,1,1,0,0,0,30000,74835083,0
47,0,1,1,1,0,1,1,7000,61121711,0
43,0,2,2,1,0,1,1,10000,66925735,0
26,0,2,2,1,0,1,1,7000,63600601,0
67,1,2,0,1,0,1,2,12000,63813472,0
44,0,2,2,1,0,0,0,8500,64832999,0
33,1,2,2,1,0,1,1,10000,64593619,0
53,1,1,0,1,0,0,0,4300,74033974,0
40,0,2,2,1,0,0,0,13200,62375991,0
28,1,1,1,1,0,0,0,15000,73816704,0
52,1,1,1,1,0,1,2,20000,61934183,0
40,1,1,1,1,0,0,0,15000,60442571,0
44,1,1,1,1,0,1,2,5000,74035080,0
33,0,2,2,1,0,0,0,20000,64276037,0
44,0,1,0,1,0,1,1,15000,59925110,0
24,1,1,1,1,0,1,1,10000,67165268,0
46,0,2,1,1,0,1,1,18000,61451918,0
61,0,2,0,1,0,1,1,25000,61099710,0
53,1,1,0,1,1,0,0,25000,64353970,0
55,1,0,0,1,0,3,3,13000,66781896,0
35,0,2,2,1,0,0,0,8000,66967312,0
34,1,2,2,1,0,0,0,25000,74281522,0
22,0,0,0,1,0,1,1,16000,61832255,0
33,0,1,1,1,0,0,0,10000,72279205,1
54,1,0,0,1,0,0,0,8000,61290106,0
49,0,2,2,1,0,1,2,16000,61366540,0
23,0,0,0,1,0,0,0,15000,63907163,1
35,1,2,2,1,0,0,0,11000,62624047,0
45,1,0,0,1,0,1,2,10000,60059705,0
28,0,0,0,1,0,0,0,15000,61539417,0
22,1,0,0,1,0,0,0,12000,72260930,0
61,1,0,0,0,1,0,0,5000,63907021,0
48,1,2,1,1,0,1,1,30000,61139557,0
39,1,1,1,1,0,0,0,10000,60397606,0
32,0,0,0,1,0,0,0,9500,60379339,0
36,1,2,2,1,0,1,1,7000,61916582,0
38,1,2,1,1,0,0,0,8500,64554862,0
28,1,2,2,1,0,0,0,12000,66920725,0
27,1,0,0,1,0,1,1,15000,61109861,0
31,1,0,0,1,0,3,3,17000,74817798,0
64,0,0,0,0,1,0,0,8000,62251874,0
28,1,0,0,1,0,1,1,20000,61357184,1
60,1,6,0,0,1,1,2,5200,61382118,0
43,1,1,0,1,0,1,1,13000,67139640,0
27,1,0,0,1,0,0,0,18000,62769451,0
35,0,1,0,1,0,1,1,34000,74279545,0
22,1,1,1,1,0,1,3,10000,67163936,0
63,1,1,0,1,1,1,2,7000,75006199,0
44,0,1,1,1,0,0,0,12000,61243750,0
52,1,0,0,1,0,1,1,5000,65241813,0
51,1,2,0,1,0,1,2,16000,67430113,0
34,1,0,0,1,0,2,2,8000,66332501,0
25,1,1,1,1,0,0,0,23000,72289574,0
28,0,0,0,1,0,1,1,10000,61047844,0
59,1,0,0,1,0,4,4,10000,74957512,0
36,0,1,1,1,0,1,1,25000,63600604,0
42,0,1,0,1,0,0,0,7000,66897742,0
54,1,2,0,1,0,4,5,10000,67205921,0
37,0,1,1,1,0,0,0,15000,61156071,1
34,1,1,1,1,0,0,0,5000,64431399,0
41,0,1,1,1,0,3,3,20000,66758603,0
28,1,0,0,1,0,1,1,15000,61049943,1
37,1,1,1,1,0,0,0,6000,60191052,0
30,0,0,0,1,0,0,0,7500,61373589,1
38,0,1,1,1,0,1,1,15000,61125296,0
34,0,1,1,1,0,0,0,8000,61963763,1
27,1,1,1,1,0,2,2,7000,66830429,0
48,1,0,0,1,0,0,0,15000,74832290,0
22,1,0,0,1,0,1,1,6000,74022444,0
30,1,1,0,1,0,0,0,4000,62082932,0
30,0,1,1,1,0,1,1,40000,67068628,0
35,0,2,2,1,0,0,0,29000,60096935,0
55,1,1,0,1,0,0,0,13000,64904574,0
41,1,2,2,1,0,0,0,6000,61838823,0
54,1,0,0,1,1,0,0,9000,64365785,0
30,1,1,1,1,0,0,0,15000,61850415,0
36,0,3,3,1,0,2,2,10000,66526955,0
48,0,0,0,1,0,1,1,13000,62501063,0
40,1,2,0,1,0,0,0,25000,60456876,1
33,1,1,1,1,0,0,0,14000,64909201,0
32,0,1,1,1,0,0,0,20000,64842766,0
59,1,0,0,0,1,0,0,5582,61302184,0
50,1,0,0,1,0,2,2,10000,66533416,1
44,1,0,0,1,0,0,0,11000,62990756,0
47,1,1,1,1,0,1,2,19000,61030680,0
60,1,2,0,1,0,2,3,10500,66745598,0
38,0,1,1,1,0,1,1,20000,61132394,1
40,0,0,0,1,0,0,0,16000,67329643,0
29,0,1,1,1,0,0,0,25000,65217809,0
28,0,1,0,1,0,0,0,18000,63891395,0
56,0,0,0,1,0,0,0,19000,62445027,0
33,1,2,2,1,0,0,0,20000,62143669,0
22,0,0,0,1,0,1,2,15000,64594349,1
42,1,2,2,1,0,0,0,14000,64456185,0
51,1,4,0,1,0,1,2,16000,73850417,0
48,0,1,0,1,0,0,0,10000,62590364,0
49,1,2,0,1,1,0,0,10000,61833272,0
61,0,2,0,1,0,0,0,13000,62136452,0
48,1,0,0,0,1,1,1,6000,62487752,0
47,0,2,0,1,0,2,2,18000,67212866,0
27,1,1,1,1,0,0,0,12000,66968607,1
51,1,3,1,1,0,0,0,10000,61866577,1
43,1,1,1,1,0,0,0,40000,62094383,0
40,1,1,1,0,1,0,0,5400,61841922,0
56,1,3,0,1,0,3,4,10000,74190441,0
46,1,0,0,1,0,0,0,18000,62142972,0
39,0,3,3,1,0,0,0,25000,60095959,0
44,1,1,1,1,0,0,0,10000,62138885,0
33,0,1,1,1,0,1,1,16000,61941452,0
44,0,0,0,0,1,1,1,35000,65256008,1
27,1,1,1,1,0,0,0,6000,59966861,0
63,1,0,0,0,1,0,0,11000,61955750,0
37,0,1,1,1,0,2,2,15000,67169157,0
43,1,0,0,1,0,0,0,30000,67543528,0
57,0,1,0,1,0,0,0,35000,75067935,0
44,1,2,2,1,0,0,0,10000,62141250,0
45,0,1,0,1,0,0,0,10000,63598373,0
45,1,0,0,1,0,0,0,5800,62086196,0
60,1,1,0,1,1,1,1,12000,61039219,0
56,1,2,0,1,1,1,1,12000,61361094,0
47,1,0,0,1,0,1,1,10000,63631379,0
27,0,0,0,1,0,2,3,15000,74561839,1
49,0,2,1,1,0,0,0,22000,61832884,0
34,1,1,1,1,0,0,0,5000,62600462,0
57,1,2,0,0,1,1,1,12000,75281731,0
66,0,1,0,1,1,1,1,25000,61059343,0
44,0,1,0,1,0,0,0,11000,60443823,0
28,1,0,0,1,0,0,0,15000,65225338,0
55,0,2,0,1,1,2,3,14000,74663587,0
41,0,2,2,1,0,0,0,6000,60393522,0
58,1,1,0,0,1,0,0,6000,62592042,0
60,1,3,0,1,1,0,0,12000,64907608,0
50,0,0,0,1,0,2,2,7300,67071916,0
25,1,0,0,1,0,2,2,14000,65415799,0
40,1,2,1,1,0,1,1,14000,61976722,1
28,0,0,0,1,0,0,0,11000,62029852,0
26,1,0,0,1,0,1,1,9000,66083832,0
36,0,1,1,1,0,2,2,10000,74663590,0
39,0,6,6,1,0,0,0,15000,64429995,0
60,1,0,0,1,0,0,0,8000,62442666,0
46,0,1,0,1,0,0,0,15000,59974935,0
36,1,2,1,1,0,1,1,25000,61138829,0
61,1,2,0,0,1,2,2,5000,74190998,0
25,1,1,1,1,0,0,0,10000,62022556,1
63,1,0,0,0,1,1,1,10000,74645885,0
56,1,2,0,1,1,2,2,13000,65240644,0
51,1,0,0,1,0,0,0,17000,73818402,0
38,1,3,0,1,0,0,0,5000,64433703,0
56,0,2,0,1,0,1,1,7000,61309398,0
35,1,2,2,1,0,0,0,4300,61243297,0
40,1,2,0,1,0,0,0,7600,60097017,0
54,1,1,1,0,1,0,0,8000,61315483,0
41,0,1,1,1,0,2,3,12000,66851213,0
32,1,1,1,1,0,1,1,6500,61523599,0
51,1,0,0,1,0,0,0,15000,62146488,0
34,0,2,0,1,0,0,0,20000,64435040,0
31,0,0,0,1,0,0,0,15000,62603435,0
35,0,0,0,1,0,0,0,8000,75273363,0
34,1,1,0,1,0,0,0,11000,63087762,0
31,1,0,0,1,0,0,0,9700,75275876,0
50,1,0,0,1,0,1,1,12000,63628270,1
37,1,2,1,1,0,1,2,19000,62240204,0
60,1,0,0,1,0,2,2,12000,66593248,0
54,1,0,0,1,0,0,0,7000,74031928,0
52,1,0,0,1,1,0,0,15600,64912309,1
41,0,0,0,1,0,0,0,35000,64454829,0
47,1,2,0,1,0,0,0,11000,62177604,1
60,1,2,0,1,1,1,1,45000,62608713,0
40,1,2,0,1,0,2,2,8000,74944654,0
27,1,1,1,1,0,0,0,20000,63921686,1
32,0,2,2,1,0,0,0,20500,67337338,0
54,1,0,0,1,0,0,0,19000,62589072,0
35,1,2,2,1,0,2,2,10000,66749264,0
49,1,2,0,1,0,2,2,10000,67148714,0
58,0,1,1,1,1,0,0,13000,60104563,0
54,0,3,0,1,0,1,1,15000,61871202,0
53,1,1,1,1,0,0,0,9000,60110403,0
32,0,0,0,1,0,1,1,19000,74485624,0
38,1,2,0,1,0,2,2,10000,61448047,0
55,0,2,0,1,0,0,0,35000,62015905,0
43,1,2,0,1,0,3,3,15000,67086656,0
27,0,1,1,1,0,1,1,17000,64910767,0
28,1,1,1,1,0,1,1,8000,75285810,0
37,0,3,3,1,0,0,0,8000,60118068,0
43,1,2,2,1,0,1,2,3500,72277314,0
39,1,0,0,1,0,1,2,6000,62256089,1
55,0,1,2,1,0,2,3,10000,75290209,0
37,1,1,1,1,0,0,0,18000,72283700,0
42,1,1,1,1,0,1,2,9800,61462176,0
47,0,0,0,1,0,1,2,15000,74482673,0
45,1,1,0,1,0,0,0,27000,64377765,0
61,1,0,0,1,0,2,2,10000,61460402,0
30,1,1,1,1,0,3,3,15000,67083850,0
38,0,1,1,1,0,0,0,30000,63099552,0
46,0,1,1,1,0,0,0,15000,60094030,0
37,0,2,2,1,0,1,1,15000,63982400,0
39,1,6,6,1,0,0,0,12000,63894742,0
45,1,2,1,1,0,0,0,7000,60099939,0
26,1,0,0,1,0,0,0,8000,64888866,0
56,1,1,0,1,0,2,2,9000,66412418,0
53,1,0,0,1,0,0,0,7000,72275678,0
51,0,2,2,1,0,2,4,9000,74957537,0
42,1,1,1,1,0,0,0,9000,61238488,0
42,0,1,2,1,0,0,0,20000,64362710,0
25,1,1,1,1,0,1,1,7000,65473864,0
48,1,0,0,1,0,0,0,14000,62940098,0
42,0,1,1,1,0,0,0,9000,62799201,0
56,1,0,0,1,0,1,1,8000,74636701,0
59,1,4,0,1,0,0,0,24000,74465758,0
52,0,2,0,1,0,2,3,10000,67174948,0
26,1,1,1,1,0,0,0,15000,74838342,0
30,1,1,1,1,0,1,2,12000,74461792,0
34,0,2,2,1,0,2,2,12000,75203235,0
40,0,3,2,1,0,1,1,40000,63588591,1
62,1,2,0,0,1,2,3,8000,74552724,0
24,1,0,0,1,0,0,0,9500,73836162,0
51,0,0,0,1,0,0,0,9000,63319748,1
42,1,1,1,1,0,0,0,8500,61447237,0
55,1,3,0,0,1,1,2,8000,64595548,0
30,0,1,1,1,0,1,1,36000,65206441,0
31,0,0,0,1,0,0,0,10000,67334743,0
35,0,1,1,1,0,0,0,27000,62141358,1
34,1,3,3,1,0,0,0,5000,62990423,0
58,1,3,1,1,0,0,0,10000,64825026,0
25,0,0,0,1,0,1,1,15000,64351238,1
50,1,3,1,1,0,1,2,8000,67312796,0
33,0,1,1,1,0,2,2,20000,61919784,0
46,1,0,0,1,0,1,1,10000,62496016,0
58,1,2,0,0,1,1,1,6500,66923501,0
28,0,0,0,1,0,0,0,25000,61469712,0
27,1,2,2,1,0,0,0,5000,63095755,0
48,0,2,1,1,0,2,2,7000,66432914,0
28,1,0,0,1,0,0,0,10000,62180770,0
28,1,1,1,1,0,3,3,10000,74658840,1
38,1,0,0,1,0,0,0,14000,61156098,0
22,0,0,0,1,0,0,0,18000,62094825,0
26,0,0,0,1,0,0,0,15000,72282999,0
28,0,0,0,1,0,5,5,20000,66595337,0
24,1,0,0,1,0,0,0,15000,75004974,0
42,1,3,3,1,0,0,0,5000,60084780,0
26,1,0,0,1,0,0,0,15000,66187289,0
49,1,0,0,1,0,2,2,10000,67173832,0
